t_sim;S_sim;I_sim;R_sim;R0_sim
37;0.99856777443609;0.000265712992481203;0.00116623887218045;1.20695488721804
38;0.99850184962406;0.000276620661654135;0.0012212692481203;1.21296992481203
39;0.99843592481203;0.000287528330827068;0.00127629962406015;1.21898496240602
40;0.99837;0.000298436;0.00133133;1.225
41;0.998293432098766;0.00031368475308642;0.00139284938271605;1.25
42;0.998207666666667;0.000330697666666667;0.00146154275720165;1.25
43;0.998118777777778;0.000348368777777778;0.00153291504801097;1.25
44;0.998029888888889;0.000366039888888889;0.0016042873388203;1.25
45;0.997941;0.000383711;0.00167565962962963;1.25
46;0.997848744360902;0.000402037315789474;0.00174970857142857;1.25093984962406
47;0.997738308270677;0.000423901736842105;0.00183821142857143;1.25695488721804
48;0.997627872180451;0.000445766157894737;0.00192671428571429;1.26296992481203
49;0.997517436090226;0.000467630578947368;0.00201521714285714;1.26898496240601
50;0.997407;0.000489495;0.00210372;1.275
51;0.997275333333333;0.000519591728395062;0.00220522456790123;1.3
52;0.997126187344177;0.000553643610590051;0.00232022015077763;1.3
53;0.996970660809688;0.000589165871067316;0.00244023439748308;1.3
54;0.996815134275199;0.00062468813154458;0.00256024864418853;1.3
55;0.99665960774071;0.000660210392021845;0.00268026289089398;1.3
56;0.99648150408905;0.000700819590413448;0.00281772646978646;1.3
57;0.996280913448432;0.000746495419582008;0.00297256972285325;1.3
58;0.996080322807815;0.000792171248750568;0.00312741297592004;1.3
59;0.995879732167197;0.000837847077919128;0.00328225622898682;1.3
60;0.995677;0.000884129;0.00343918;1.275
61;0.99544987654321;0.000928653320987654;0.00362134666666667;1.25
62;0.995197273705004;0.000978145340649693;0.00382441898485514;1.25
63;0.994935201712028;0.00102949038015803;0.00403529475307287;1.25
64;0.994673129719052;0.00108083541966637;0.00424617052129061;1.25
65;0.994411057726076;0.00113218045917471;0.00445704628950834;1.25
66;0.994139358234091;0.00118534876578852;0.00467567551425478;1.2490587032359
67;0.993815768675568;0.00124834407434139;0.00493609413569109;1.24304402742692
68;0.993492179117046;0.00131133938289426;0.00519651275712739;1.23702935161795
69;0.993168589558523;0.00137433469144713;0.0054569313785637;1.23101467580897
70;0.992845;0.00143733;0.00571735;1.225
71;0.992494654320988;0.00149356679012346;0.00601157037037037;1.2
72;0.992113536106234;0.00155443067712906;0.00633166264376646;1.2
73;0.991721306079895;0.00161701408362599;0.00666139267010536;1.2
74;0.991329076053556;0.00167959749012292;0.00699112269644425;1.2
75;0.990936846027217;0.00174218089661984;0.00732085272278315;1.2
76;0.990533783712258;0.0018063755046313;0.00765978626488633;1.2009412967641
77;0.990072337784193;0.00187925412847348;0.00804832469866474;1.20695597257308
78;0.989610891856129;0.00195213275231565;0.00843686313244316;1.21297064838205
79;0.989149445928065;0.00202501137615783;0.00882540156622158;1.21898532419103
80;0.988688;0.00209789;0.00921394;1.225
81;0.98815475308642;0.00219955580246914;0.00964570456790123;1.25
82;0.987563414901789;0.0023115827532097;0.0101248651442994;1.25
83;0.986950663886755;0.00242747433666191;0.0106217004345441;1.25
84;0.986337912871722;0.00254336592011412;0.0111185357247888;1.25
85;0.985725161856688;0.00265925750356633;0.0116153710150335;1.25
86;0.985091450433109;0.00277883530317613;0.0121295124157844;1.24906159769009
87;0.984344337824832;0.0029183564773821;0.0127372843118383;1.24304619826757
88;0.983597225216554;0.00305787765158806;0.0133450562078922;1.23703079884504
89;0.982850112608277;0.00319739882579403;0.0139528281039461;1.23101539942252
90;0.982103;0.00333692;0.0145606;1.225
91;0.981299271604938;0.00345826641975309;0.0152425111111111;1.2
92;0.980432763195435;0.00358772807198508;0.0159796362229782;1.2
93;0.979542606276747;0.00372020255898167;0.0167373010973335;1.2
94;0.97865244935806;0.00385267704597827;0.0174949659716888;1.2
95;0.977762292439372;0.00398515153297487;0.0182526308460441;1.2
96;0.97685030798845;0.0041202879307026;0.0190294520692974;1.19906159769009
97;0.975820230991338;0.00426982594802695;0.019909914051973;1.19304619826756
98;0.974790153994225;0.0044193639653513;0.0207903760346487;1.18703079884504
99;0.973760076997113;0.00456890198267565;0.0216708380173243;1.18101539942252
100;0.97273;0.00471844;0.0225513;1.175
101;0.971659938271605;0.0048312962962963;0.0235085308641975;1.15
102;0.970536937671458;0.00494716209371228;0.0245156014704269;1.15
103;0.969394394052452;0.00506413345330846;0.025541147393833;1.15
104;0.968251850433447;0.00518110481290464;0.0265666933172391;1.15
105;0.967109306814441;0.00529807617250082;0.0275922392406452;1.15
106;0.965949699711261;0.00541584919153032;0.0286340619826756;1.14906159769009
107;0.964697774783446;0.00553795939364774;0.0297639464870067;1.14304619826756
108;0.96344584985563;0.00566006959576516;0.0308938309913378;1.13703079884504
109;0.962193924927815;0.00578217979788258;0.0320237154956689;1.13101539942252
110;0.960942;0.00590429;0.0331536;1.125
111;0.959686469135802;0.00597110617283951;0.0343425987654321;1.1
112;0.958404918797322;0.0060357627301657;0.0355596618896083;1.1
113;0.957113576758477;0.00609961217601229;0.036787117173269;1.1
114;0.955822234719631;0.00616346162185888;0.0380145724569297;1.1
115;0.954530892680786;0.00622731106770548;0.0392420277405904;1.1
116;0.953231999037536;0.00629033703561116;0.0404778421559191;1.09906159769009
117;0.951892249278152;0.00634890777670837;0.0417588816169394;1.09304619826757
118;0.950552499518768;0.00640747851780558;0.0430399210779596;1.08703079884504
119;0.949212749759384;0.00646604925890279;0.0443209605389798;1.08101539942252
120;0.947873;0.00652462;0.045602;1.075
121;0.946576543209877;0.00651737222222222;0.0469061283950617;1.05
122;0.945287984417865;0.00650635571162076;0.0482057566663009;1.05
123;0.944002348513113;0.00649394267529902;0.0495036607593548;1.05
124;0.942716712608362;0.00648152963897728;0.0508015648524086;1.05
125;0.94143107670361;0.00646911660265555;0.0520994689454625;1.05
126;0.940148785370549;0.00645555565928778;0.0533952113570741;1.04906159769009
127;0.938884589027911;0.00643578424446583;0.0546792585178056;1.04304619826756
128;0.937620392685274;0.00641601282964389;0.0559633056785371;1.03703079884504
129;0.936356196342637;0.00639624141482194;0.0572473528392685;1.03101539942252
130;0.935092;0.00637647;0.0585314;1.025
131;0.933910037037037;0.00629344160493827;0.0597966827160494;1
132;0.93276459980248;0.00620977443212992;0.0610257804564907;1
133;0.931632810051575;0.00612587889827719;0.0622414723252497;1
134;0.930501020300669;0.00604198336442445;0.0634571641940086;1
135;0.929369230549764;0.00595808783057171;0.0646728560627675;1
136;0.92824891626564;0.00587412923002887;0.0658771288739172;0.999061597690087
137;0.92719068719923;0.00578982942252165;0.0670196216554379;0.993046198267565
138;0.92613245813282;0.00570552961501444;0.0681621144369586;0.987030798845043
139;0.92507422906641;0.00562122980750722;0.0693046072184793;0.981015399422522
140;0.924016;0.00553693;0.0704471;0.975
141;0.923059012345679;0.00540300728395062;0.0715382543209876;0.95
142;0.922152952375727;0.00527409583123011;0.0725731858663448;0.95
143;0.921265867990782;0.00514704436628991;0.0735873414682322;0.95
144;0.920378783605838;0.00501999290134972;0.0746014970701196;0.95
145;0.919491699220893;0.00489294143640952;0.075615652672007;0.95
146;0.9186195813282;0.00476747308950914;0.0766132386910491;0.949061597690087
147;0.91782843599615;0.00465056981713186;0.0775211790182868;0.943046198267565
148;0.9170372906641;0.00453366654475457;0.0784291193455245;0.937030798845043
